"return_id","order__order_id","product__product_id","customer__customer_id","return_unit_cost","return_unit_quantity","wdf__client_id","return_unit_paid_amount","date","return_date"
"R-LZQTE6QI","O-ET5LA28E","P-IATI6E7C","C-KMPFKTIQ","735.46","7","merchant__bigboxretailer","707.33","2021-08-10 19:38:14","2021-08-10 19:38:14"
"R-WNHKOI5J","O-6PPNXQNJ","P-OZOXVVH9","C-754UJQC8","429.74","2","merchant__bigboxretailer","625.21","2021-08-10 20:40:40","2021-08-10 20:40:40"
"R-3EPHMP5F","O-N5FDGU9S","P-4CG2IOLF","C-S6OGKTV1","105.31","5","merchant__electronics","58.81","2021-08-11 06:40:00","2021-08-11 06:40:00"
"R-P9AVOPFI","O-JKA1QD9S","P-QQ2OV12P","C-XKJ1160Q","275.1","8","merchant__bigboxretailer","430.72","2021-08-11 10:23:03","2021-08-11 10:23:03"
"R-LKMA8KDI","O-5XA2UPXI","P-YHQL78FM","C-T685XO9O","89.2","4","merchant__electronics","238.33","2021-08-11 11:12:00","2021-08-11 11:12:00"
"R-U84U9282","O-2GPDL1QW","P-T25G5IH5","C-K1O6QMFR","11.39","10","merchant__bigboxretailer","128.2","2021-08-11 13:13:13","2021-08-11 13:13:13"
"R-YYDDGPEP","O-MCSZ7F80","P-KTIPZKCX","C-7YPDIBK8","881.72","6","merchant__clothing","606.6","2021-08-11 13:16:07","2021-08-11 13:16:07"
"R-3OA4GZ5O","O-IC6E8KRT","P-XK8I8GS4","C-754UJQC8","903.57","10","merchant__bigboxretailer","898.54","2021-08-11 17:28:45","2021-08-11 17:28:45"
"R-NHTW3MNX","O-JYA6Y7V7","P-WJ02AIHW","C-ID511SV3","19.74","9","merchant__electronics","16.87","2021-08-11 20:27:39","2021-08-11 20:27:39"
"R-LOU29YPG","O-1R5OEK5F","P-HNI2QR67","C-T685XO9O","114.26","4","merchant__electronics","593.21","2021-08-11 21:42:41","2021-08-11 21:42:41"
"R-7WQHGD07","O-5RGM4A9K","P-Z59F8USY","C-ID511SV3","186.12","2","merchant__electronics","298.72","2021-08-11 22:53:32","2021-08-11 22:53:32"
"R-QSWIGSOI","O-NFNDIJY0","P-9NRU3SVM","C-K1O6QMFR","786.04","2","merchant__bigboxretailer","923.01","2021-08-12 11:08:40","2021-08-12 11:08:40"
"R-LNGE0IDT","O-DAW0ZT6Q","P-QCFV8W45","C-4RJNAW6R","88.59","5","merchant__electronics","80.41","2021-08-12 12:11:54","2021-08-12 12:11:54"
"R-T71AAYFG","O-GAHHI2AX","P-BZG799N1","C-4RJNAW6R","185.05","2","merchant__electronics","355.45","2021-08-12 16:43:59","2021-08-12 16:43:59"
"R-4R75O0ZZ","O-NFNDIJY0","P-HNI2QR67","C-K1O6QMFR","304.09","10","merchant__bigboxretailer","608.79","2021-08-12 18:01:31","2021-08-12 18:01:31"
"R-L3U8E7YI","O-ET5LA28E","P-VWPB01YN","C-KMPFKTIQ","291.0","4","merchant__bigboxretailer","402.06","2021-08-12 18:25:54","2021-08-12 18:25:54"
"R-74PAJ3RN","O-42XAXXKR","P-OZOXVVH9","C-KMPFKTIQ","421.01","3","merchant__bigboxretailer","746.81","2021-08-12 19:39:56","2021-08-12 19:39:56"
"R-C8N994JD","O-6CDXK6WF","P-HNI2QR67","C-754UJQC8","108.43","3","merchant__bigboxretailer","158.86","2021-08-12 20:20:57","2021-08-12 20:20:57"
"R-EYFLJ5HA","O-UWTVLT2I","P-4CG2IOLF","C-453CYYHP","619.0","8","merchant__electronics","773.57","2021-08-12 20:36:46","2021-08-12 20:36:46"
"R-V1JHB90L","O-OSDPJ84S","P-5OZ3VDM1","C-A15XA63D","317.21","2","merchant__bigboxretailer","521.95","2021-08-12 20:48:17","2021-08-12 20:48:17"
"R-RWV66JFP","O-NFNDIJY0","P-9JXUBEF9","C-K1O6QMFR","692.54","8","merchant__bigboxretailer","575.55","2021-08-12 21:44:48","2021-08-12 21:44:48"
"R-WK8YAWP2","O-JYA6Y7V7","P-BZG799N1","C-ID511SV3","472.38","10","merchant__electronics","612.38","2021-08-12 22:41:31","2021-08-12 22:41:31"
"R-TLWRG66S","O-AMTEDME0","P-QCFV8W45","C-4RJNAW6R","744.55","4","merchant__electronics","977.12","2021-08-13 06:01:27","2021-08-13 06:01:27"
"R-4I98X1J0","O-N5FDGU9S","P-YHQL78FM","C-S6OGKTV1","94.29","9","merchant__electronics","104.23","2021-08-13 09:10:57","2021-08-13 09:10:57"
"R-VQQTZP6H","O-DAW0ZT6Q","P-OZOXVVH9","C-4RJNAW6R","158.82","1","merchant__electronics","98.31","2021-08-13 09:41:28","2021-08-13 09:41:28"
"R-03KIUPBY","O-GAHHI2AX","P-I1EK2RA1","C-4RJNAW6R","383.1","10","merchant__electronics","506.17","2021-08-13 11:33:40","2021-08-13 11:33:40"
"R-CP39Z196","O-VYTXGLG0","P-OV1JLP72","C-XWA545GH","17.23","4","merchant__clothing","411.04","2021-08-13 12:41:23","2021-08-13 12:41:23"
"R-2ALGRONQ","O-2CSEO6K0","P-4NZA2QGO","C-7DYJAGLA","34.56","6","merchant__electronics","266.8","2021-08-13 15:28:41","2021-08-13 15:28:41"
"R-OY67M20B","O-IC6E8KRT","P-HNI2QR67","C-754UJQC8","224.4","4","merchant__bigboxretailer","276.12","2021-08-13 16:58:47","2021-08-13 16:58:47"
"R-RY585ULL","O-ANV5UOYB","P-QQ2OV12P","C-7YPDIBK8","135.28","10","merchant__clothing","361.11","2021-08-14 06:19:31","2021-08-14 06:19:31"
"R-1QOPZ0NE","O-L5JV69XJ","P-ODTOG0C1","C-KMPFKTIQ","216.07","6","merchant__bigboxretailer","340.87","2021-08-14 10:05:24","2021-08-14 10:05:24"
"R-ZATMSQX2","O-G6I0EZSB","P-6YXUDZDH","C-C3UP09BB","19.32","9","merchant__electronics","17.23","2021-08-14 12:10:54","2021-08-14 12:10:54"
"R-YHSP5AT2","O-LMHDBJG8","P-3QEYGQT6","C-XL2N62QL","384.11","7","merchant__bigboxretailer","318.12","2021-08-14 13:38:00","2021-08-14 13:38:00"
"R-IE1PSF1R","O-04HI4537","P-5OZ3VDM1","C-4VL3L6YG","10.14","7","merchant__bigboxretailer","671.74","2021-08-14 16:00:35","2021-08-14 16:00:35"
"R-RW28IJ8B","O-3GG1J5A8","P-FKPTQI59","C-C3UP09BB","72.72","8","merchant__electronics","76.38","2021-08-14 16:46:47","2021-08-14 16:46:47"
"R-KW9IOFID","O-04HI4537","P-MC5L29EJ","C-4VL3L6YG","146.26","3","merchant__bigboxretailer","523.31","2021-08-14 17:13:13","2021-08-14 17:13:13"
"R-DD9PZVPM","O-R5HPXI3W","P-HNI2QR67","C-VB8S6M1D","302.76","10","merchant__electronics","333.0","2021-08-14 18:10:24","2021-08-14 18:10:24"
"R-UM7CHNG3","O-6PPNXQNJ","P-VWPB01YN","C-754UJQC8","315.46","8","merchant__bigboxretailer","503.66","2021-08-14 18:15:11","2021-08-14 18:15:11"
"R-GSBTDM8F","O-6PPNXQNJ","P-VOEIYK0G","C-754UJQC8","45.21","3","merchant__bigboxretailer","69.45","2021-08-14 20:24:42","2021-08-14 20:24:42"
"R-5ZKWOTWC","O-GAHHI2AX","P-4NZA2QGO","C-4RJNAW6R","119.57","10","merchant__electronics","384.21","2021-08-14 20:25:35","2021-08-14 20:25:35"
"R-3TR58TYA","O-5VJCTOM1","P-ZHBUWTA0","C-ID511SV3","425.1","5","merchant__electronics","547.76","2021-08-15 09:48:45","2021-08-15 09:48:45"
"R-3TFLMW2G","O-RL9NIHT8","P-T25G5IH5","C-KKV53Z87","114.09","2","merchant__bigboxretailer","430.07","2021-08-15 10:36:43","2021-08-15 10:36:43"
"R-EPQ9KC2I","O-QCNMO1HN","P-0EHNKABW","C-E94ILFWE","115.76","10","merchant__clothing","274.25","2021-08-15 10:39:22","2021-08-15 10:39:22"
"R-PLQXI128","O-UWTVLT2I","P-HNI2QR67","C-453CYYHP","420.52","1","merchant__electronics","306.73","2021-08-15 12:44:33","2021-08-15 12:44:33"
"R-89YHTI61","O-IT66LHS2","P-OZOXVVH9","C-7DYJAGLA","197.68","6","merchant__electronics","217.42","2021-08-15 12:53:58","2021-08-15 12:53:58"
"R-03OZZ0T9","O-RL9NIHT8","P-9JXUBEF9","C-KKV53Z87","326.79","9","merchant__bigboxretailer","446.41","2021-08-15 13:43:25","2021-08-15 13:43:25"
"R-YUI5BQSV","O-043K8FHM","P-BZG799N1","C-C3UP09BB","31.88","6","merchant__electronics","311.82","2021-08-15 17:07:14","2021-08-15 17:07:14"
"R-BQUZOU6C","O-ILUDC8WR","P-RMA7V2ST","C-5MX52VV1","7.92","5","merchant__bigboxretailer","562.89","2021-08-15 18:32:05","2021-08-15 18:32:05"
"R-3AFQ4UDH","O-IXR29X9D","P-0EHNKABW","C-ZPWYAF04","9.26","10","merchant__electronics","512.69","2021-08-15 18:55:35","2021-08-15 18:55:35"
"R-0Y0O2WPZ","O-5L38EJ0A","P-KODMDODH","C-ZPWYAF04","57.46","3","merchant__electronics","84.71","2021-08-15 19:59:37","2021-08-15 19:59:37"
"R-BVPGZHS4","O-B7RWNBSL","P-3UGI5Q6N","C-T685XO9O","295.91","9","merchant__electronics","556.02","2021-08-15 22:30:20","2021-08-15 22:30:20"
"R-Q29ERUHO","O-KHWC3VQI","P-3QEYGQT6","C-OX83SIS9","636.29","2","merchant__electronics","507.55","2021-08-16 01:50:31","2021-08-16 01:50:31"
"R-5E4MO46Q","O-IN13BVQH","P-Z59F8USY","C-ZPWYAF04","151.45","8","merchant__electronics","315.06","2021-08-16 09:04:46","2021-08-16 09:04:46"
"R-KE55H4AY","O-KHXMSDJG","P-QTCC1QZX","C-KMPFKTIQ","123.59","9","merchant__bigboxretailer","370.58","2021-08-16 11:14:24","2021-08-16 11:14:24"
"R-1UAXM258","O-IN13BVQH","P-B01VWS38","C-ZPWYAF04","275.24","7","merchant__electronics","168.29","2021-08-16 16:47:05","2021-08-16 16:47:05"
"R-TZGBRWUR","O-QU7DS0N8","P-OZOXVVH9","C-K6240000","140.97","5","merchant__electronics","259.83","2021-08-16 17:25:56","2021-08-16 17:25:56"
"R-3KPU0AWN","O-1DLOFGEK","P-MPQ6WXMT","C-K6240000","202.28","8","merchant__electronics","543.97","2021-08-16 18:32:54","2021-08-16 18:32:54"
"R-JMM2BFOG","O-O3SJ3ZZ0","P-0EHNKABW","C-3LO5EDXY","35.64","7","merchant__electronics","291.71","2021-08-16 19:12:29","2021-08-16 19:12:29"
"R-68JN1MJI","O-WMWGXRMD","P-6GC7XGPK","C-K1O6QMFR","39.42","1","merchant__bigboxretailer","87.45","2021-08-16 20:24:40","2021-08-16 20:24:40"
"R-Q3ZV5NXN","O-G6QGRIQG","P-CF5SF6B1","C-KMPFKTIQ","282.53","3","merchant__bigboxretailer","203.64","2021-08-16 20:47:09","2021-08-16 20:47:09"
"R-LKGU0OIX","O-O6UPD4YL","P-0Q97ST2J","C-7YPDIBK8","703.03","2","merchant__clothing","394.05","2021-08-17 08:28:49","2021-08-17 08:28:49"
"R-SYSW95B0","O-QLPHO5I1","P-KODMDODH","C-1VVPRURK","106.45","7","merchant__electronics","255.6","2021-08-17 12:32:57","2021-08-17 12:32:57"
"R-R7KMYKWU","O-V33I1EHF","P-B01VWS38","C-T685XO9O","388.02","9","merchant__electronics","439.38","2021-08-17 12:49:38","2021-08-17 12:49:38"
"R-AWJ7BPG8","O-GU29U2U8","P-EHKJYGAL","C-Q399A3GQ","523.48","10","merchant__electronics","377.1","2021-08-17 13:21:33","2021-08-17 13:21:33"
"R-ZURF8KKF","O-U0D6PE05","P-0Q97ST2J","C-E94ILFWE","506.02","10","merchant__clothing","569.99","2021-08-17 15:35:57","2021-08-17 15:35:57"
"R-JPQK8IOX","O-5RGM4A9K","P-2PS6UREM","C-ID511SV3","114.73","5","merchant__electronics","199.91","2021-08-17 16:13:37","2021-08-17 16:13:37"
"R-HAC6491I","O-LMHDBJG8","P-OZOXVVH9","C-XL2N62QL","148.18","6","merchant__bigboxretailer","449.24","2021-08-17 19:10:33","2021-08-17 19:10:33"
"R-Q8Y1V6UF","O-1XN72O8M","P-ZHBUWTA0","C-ID511SV3","270.49","10","merchant__electronics","588.65","2021-08-17 20:44:27","2021-08-17 20:44:27"
"R-C2GW4E5B","O-L5JV69XJ","P-FIILZP9M","C-KMPFKTIQ","277.69","8","merchant__bigboxretailer","543.71","2021-08-17 21:36:45","2021-08-17 21:36:45"
"R-NISURCY1","O-JYA6Y7V7","P-WXWJ1PQH","C-ID511SV3","98.45","10","merchant__electronics","209.18","2021-08-17 22:12:27","2021-08-17 22:12:27"
"R-DLFC8KSS","O-JYA6Y7V7","P-XLCOJWPX","C-ID511SV3","66.86","6","merchant__electronics","304.74","2021-08-18 00:05:25","2021-08-18 00:05:25"
"R-VHAJGEQA","O-5NBB4JW5","P-0NWV2F1G","C-W5P02NDU","259.82","6","merchant__clothing","874.79","2021-08-18 05:19:53","2021-08-18 05:19:53"
"R-CH93GR83","O-1XN72O8M","P-FKPTQI59","C-ID511SV3","311.24","5","merchant__electronics","359.03","2021-08-18 06:04:27","2021-08-18 06:04:27"
"R-YTS1F94J","O-VRSRBE6M","P-6GC7XGPK","C-K6240000","285.6","7","merchant__electronics","358.7","2021-08-18 10:20:54","2021-08-18 10:20:54"
"R-FJYORX5X","O-UWTVLT2I","P-ZHBUWTA0","C-453CYYHP","58.27","4","merchant__electronics","686.3","2021-08-18 11:14:48","2021-08-18 11:14:48"
"R-5W6NP7NT","O-H9YU65UE","P-KODMDODH","C-S99J6VWA","610.21","6","merchant__bigboxretailer","747.04","2021-08-18 11:38:40","2021-08-18 11:38:40"
"R-NO0MCL6O","O-2K15179T","P-B01VWS38","C-EJZ86LCW","265.41","9","merchant__clothing","204.87","2021-08-18 12:30:17","2021-08-18 12:30:17"
"R-D0XAUCGZ","O-H9YU65UE","P-WH20NQO6","C-S99J6VWA","349.58","3","merchant__bigboxretailer","754.32","2021-08-18 15:33:34","2021-08-18 15:33:34"
"R-E0NFV5QJ","O-UWTVLT2I","P-YHQL78FM","C-453CYYHP","73.9","3","merchant__electronics","331.49","2021-08-18 15:38:49","2021-08-18 15:38:49"
"R-597LZQQP","O-YCGPP8RP","P-QTCC1QZX","C-KE6BDY7A","362.68","7","merchant__bigboxretailer","535.78","2021-08-18 16:16:58","2021-08-18 16:16:58"
"R-LQYCPZOK","O-WMWGXRMD","P-XSZP9R64","C-K1O6QMFR","33.94","4","merchant__bigboxretailer","58.93","2021-08-18 18:08:41","2021-08-18 18:08:41"
"R-67MGCPK2","O-O3SJ3ZZ0","P-EHKJYGAL","C-3LO5EDXY","460.11","1","merchant__electronics","582.06","2021-08-18 20:24:49","2021-08-18 20:24:49"
"R-DU9G46BS","O-R0SJNP51","P-JZ1G5P39","C-EJZ86LCW","59.72","8","merchant__clothing","323.76","2021-08-19 02:20:17","2021-08-19 02:20:17"
"R-A21KRTAT","O-R5HPXI3W","P-KTIPZKCX","C-VB8S6M1D","50.82","3","merchant__electronics","694.78","2021-08-19 09:09:13","2021-08-19 09:09:13"
"R-PR74W6QX","O-RWXHUQFQ","P-WXWJ1PQH","C-453CYYHP","7.45","2","merchant__electronics","16.89","2021-08-19 11:16:35","2021-08-19 11:16:35"
"R-1OY7HK5E","O-LMHDBJG8","P-5OZ3VDM1","C-XL2N62QL","315.96","9","merchant__bigboxretailer","551.22","2021-08-19 15:39:33","2021-08-19 15:39:33"
"R-3G3MZBEO","O-QLPHO5I1","P-4CG2IOLF","C-1VVPRURK","311.62","3","merchant__electronics","415.13","2021-08-19 17:32:14","2021-08-19 17:32:14"
"R-JB7C858Y","O-C4OAQHUE","P-9NRU3SVM","C-2LRFEZVR","16.17","4","merchant__bigboxretailer","23.44","2021-08-19 19:51:41","2021-08-19 19:51:41"
"R-EERSJ2CN","O-R0SJNP51","P-3TA62ZFL","C-EJZ86LCW","126.95","1","merchant__clothing","207.08","2021-08-20 01:51:09","2021-08-20 01:51:09"
"R-DQ98Q07Z","O-ILUDC8WR","P-YHQL78FM","C-5MX52VV1","35.5","6","merchant__bigboxretailer","135.51","2021-08-20 18:49:05","2021-08-20 18:49:05"
"R-8VYSD7MH","O-2K88U33C","P-EHKJYGAL","C-R673Q4BH","651.82","9","merchant__electronics","595.25","2021-08-20 20:08:01","2021-08-20 20:08:01"
"R-QZEK9XA3","O-V33I1EHF","P-WXWJ1PQH","C-T685XO9O","704.68","1","merchant__electronics","806.46","2021-08-20 22:58:19","2021-08-20 22:58:19"
"R-58HBX9UE","O-TU6GJ7Q1","P-QTCC1QZX","C-K1O6QMFR","289.46","6","merchant__bigboxretailer","261.28","2021-08-21 13:43:58","2021-08-21 13:43:58"
"R-UOCK2GQJ","O-DVKCMHGJ","P-2PS6UREM","C-36NAG0QK","202.66","10","merchant__electronics","248.32","2021-08-21 15:18:59","2021-08-21 15:18:59"
"R-8VD8A8CL","O-2K88U33C","P-0EHNKABW","C-R673Q4BH","48.8","4","merchant__electronics","84.59","2021-08-21 17:08:34","2021-08-21 17:08:34"
"R-POZO48QE","O-C4OAQHUE","P-YHQL78FM","C-2LRFEZVR","244.91","1","merchant__bigboxretailer","201.6","2021-08-21 18:06:35","2021-08-21 18:06:35"
"R-AKIIB6WS","O-WMWGXRMD","P-IW00QT67","C-K1O6QMFR","504.01","10","merchant__bigboxretailer","622.62","2021-08-21 19:02:38","2021-08-21 19:02:38"
"R-PHO8SXU3","O-C4OAQHUE","P-3QEYGQT6","C-2LRFEZVR","108.82","5","merchant__bigboxretailer","194.01","2021-08-21 19:29:39","2021-08-21 19:29:39"
"R-44PZPXYB","O-V33I1EHF","P-XLCOJWPX","C-T685XO9O","576.14","7","merchant__electronics","688.0","2021-08-21 20:48:43","2021-08-21 20:48:43"
"R-X8YYIPMG","O-VW86O2BV","P-XSZP9R64","C-5MX52VV1","11.83","8","merchant__bigboxretailer","13.82","2021-08-21 21:03:57","2021-08-21 21:03:57"
"R-C03Z33OA","O-QLPHO5I1","P-YHQL78FM","C-1VVPRURK","20.49","6","merchant__electronics","471.71","2021-08-21 21:21:35","2021-08-21 21:21:35"
"R-WC2ITOMC","O-XM7XF8QS","P-6YXUDZDH","C-LPGCYTQU","432.81","7","merchant__bigboxretailer","536.41","2021-08-22 07:50:56","2021-08-22 07:50:56"
"R-PNF650FC","O-UJ6X3IQ9","P-WJ02AIHW","C-T685XO9O","213.86","3","merchant__electronics","642.11","2021-08-22 07:51:09","2021-08-22 07:51:09"
"R-9PUKRQV4","O-L4AS11TZ","P-WJ02AIHW","C-OX83SIS9","297.83","7","merchant__electronics","753.09","2021-08-22 09:50:01","2021-08-22 09:50:01"
"R-CZM36NI8","O-GP107OJ1","P-R7M1D68U","C-2AW606TE","689.73","10","merchant__bigboxretailer","523.16","2021-08-22 11:20:37","2021-08-22 11:20:37"
"R-AVJPPGMC","O-G6I0EZSB","P-4KW88B3C","C-C3UP09BB","56.32","3","merchant__electronics","323.35","2021-08-22 11:31:00","2021-08-22 11:31:00"
"R-DTPA1UKY","O-LQJ7P4PA","P-4CG2IOLF","C-QE32B6WZ","548.4","8","merchant__electronics","660.88","2021-08-22 12:43:39","2021-08-22 12:43:39"
"R-ID1A6LML","O-MY5N804J","P-0G8HM5U2","C-DZECSGUE","227.16","8","merchant__clothing","437.78","2021-08-22 13:04:54","2021-08-22 13:04:54"
"R-ABJF6CUY","O-4YSH861E","P-6YXUDZDH","C-6M3XO59Y","43.41","7","merchant__bigboxretailer","169.71","2021-08-22 13:33:57","2021-08-22 13:33:57"
"R-KJOV9LOI","O-YCGPP8RP","P-3QEYGQT6","C-KE6BDY7A","196.34","5","merchant__bigboxretailer","164.83","2021-08-22 17:39:21","2021-08-22 17:39:21"
"R-KSWEU4HT","O-ZUM3SX6Y","P-YS3GT836","C-A1A1X3SB","338.52","7","merchant__bigboxretailer","799.39","2021-08-22 19:24:25","2021-08-22 19:24:25"
"R-LJCE89BA","O-FQKWU6QL","P-WXWJ1PQH","C-VB8S6M1D","10.52","6","merchant__electronics","167.18","2021-08-22 20:28:05","2021-08-22 20:28:05"
"R-TTYHKYPK","O-F6NOSJCZ","P-2PS6UREM","C-R673Q4BH","106.48","6","merchant__electronics","345.64","2021-08-22 22:18:15","2021-08-22 22:18:15"
"R-BV52DNDP","O-1XN72O8M","P-KODMDODH","C-ID511SV3","187.71","6","merchant__electronics","602.98","2021-08-23 09:48:01","2021-08-23 09:48:01"
"R-4E7UJ49F","O-TU6GJ7Q1","P-VOEIYK0G","C-K1O6QMFR","136.26","3","merchant__bigboxretailer","134.03","2021-08-23 10:08:42","2021-08-23 10:08:42"
"R-JN7LBHOD","O-MY5N804J","P-EHKJYGAL","C-DZECSGUE","217.93","8","merchant__clothing","945.42","2021-08-23 10:44:53","2021-08-23 10:44:53"
"R-LXEWS8N5","O-B7RWNBSL","P-I1EK2RA1","C-T685XO9O","395.36","10","merchant__electronics","521.84","2021-08-23 12:30:36","2021-08-23 12:30:36"
"R-EB2J9EDB","O-EHG12N9B","P-QCFV8W45","C-453CYYHP","24.22","5","merchant__electronics","182.67","2021-08-23 16:14:03","2021-08-23 16:14:03"
"R-EB69RT3V","O-1V51QUXT","P-XLCOJWPX","C-Q399A3GQ","460.91","4","merchant__electronics","477.23","2021-08-23 18:57:00","2021-08-23 18:57:00"
"R-6FL0GUKH","O-R0SJNP51","P-DFJI5OAC","C-EJZ86LCW","21.16","2","merchant__clothing","33.68","2021-08-24 03:26:40","2021-08-24 03:26:40"
"R-ZLJXDQOS","O-4B5N55JN","P-ZAU2W3Z9","C-2LRFEZVR","62.15","10","merchant__bigboxretailer","462.46","2021-08-24 04:37:35","2021-08-24 04:37:35"
"R-CYMPBEEY","O-TU6GJ7Q1","P-XK8I8GS4","C-K1O6QMFR","804.1","1","merchant__bigboxretailer","591.82","2021-08-24 11:59:11","2021-08-24 11:59:11"
"R-LLKSWFX4","O-U0D6PE05","P-BZG799N1","C-E94ILFWE","192.24","5","merchant__clothing","848.13","2021-08-24 14:24:33","2021-08-24 14:24:33"
"R-AS6U31XA","O-8SY1XOT3","P-Z59F8USY","C-NEASZQT3","4.97","6","merchant__electronics","214.73","2021-08-24 15:34:15","2021-08-24 15:34:15"
"R-MT2DL90Z","O-RXQI3UEC","P-5OZ3VDM1","C-G4MLAH25","141.97","7","merchant__bigboxretailer","354.15","2021-08-24 15:49:25","2021-08-24 15:49:25"
"R-ACMP2664","O-LQJ7P4PA","P-AOCIVY7V","C-QE32B6WZ","914.69","7","merchant__electronics","660.48","2021-08-24 16:44:39","2021-08-24 16:44:39"
