"monthly_inventory_id","product__product_id","inventory_month","monthly_quantity_eom","wdf__client_id","monthly_quantity_bom","date"
"M-YJU3WF0A","P-YLYHG9DI","2021-04-01","85","merchant__clothing","85","2021-04-01 00:00:00"
"M-UHYOVJ6E","P-GG6SRFRI","2021-04-01","794","merchant__clothing","794","2021-04-01 00:00:00"
"M-RKO3U87P","P-MBVSWRQE","2021-04-01","688","merchant__clothing","688","2021-04-01 00:00:00"
"M-F3LDPHR0","P-WC5UB7OD","2021-04-01","755","merchant__clothing","755","2021-04-01 00:00:00"
"M-LMLS8UGS","P-33JGK6R3","2021-04-01","421","merchant__clothing","421","2021-04-01 00:00:00"
"M-QPAXJQVD","P-I40CH1VY","2021-04-01","207","merchant__clothing","207","2021-04-01 00:00:00"
"M-5E3AZA1U","P-LCNYTMRM","2021-04-01","756","merchant__clothing","756","2021-04-01 00:00:00"
"M-IEUMN3R8","P-FKL70JPO","2021-04-01","803","merchant__clothing","803","2021-04-01 00:00:00"
"M-FFBKCM4K","P-PDBC8R3I","2021-04-01","395","merchant__clothing","395","2021-04-01 00:00:00"
"M-K8HSGI93","P-BLJ9N6B1","2021-04-01","588","merchant__clothing","588","2021-04-01 00:00:00"
"M-FJDOLIRH","P-GK4GAM4E","2021-04-01","521","merchant__clothing","521","2021-04-01 00:00:00"
"M-KR5K43IV","P-RGWCH2QE","2021-04-01","985","merchant__clothing","985","2021-04-01 00:00:00"
"M-E5210TMX","P-18Z2UEJ2","2021-04-01","425","merchant__clothing","425","2021-04-01 00:00:00"
"M-VQJBTY0S","P-CQTSDEI3","2021-04-01","847","merchant__clothing","847","2021-04-01 00:00:00"
"M-XBXYFUPG","P-YDFVJOZ9","2021-04-01","623","merchant__clothing","623","2021-04-01 00:00:00"
"M-I6N5V1TV","P-XHSAEDLK","2021-04-01","10","merchant__clothing","10","2021-04-01 00:00:00"
"M-W7TZ0UGR","P-0O7TA9NL","2021-04-01","666","merchant__clothing","666","2021-04-01 00:00:00"
"M-613CB4TJ","P-9VGAX24L","2021-04-01","93","merchant__clothing","93","2021-04-01 00:00:00"
"M-BJ1F2GZS","P-O4AYKOW8","2021-04-01","476","merchant__clothing","476","2021-04-01 00:00:00"
"M-6Q844P5Y","P-0S9Y7C8H","2021-04-01","928","merchant__clothing","928","2021-04-01 00:00:00"
"M-QGCFZFIC","P-3WHQ8JB1","2021-04-01","229","merchant__clothing","229","2021-04-01 00:00:00"
"M-PUXOIN7P","P-WLIINZZA","2021-04-01","762","merchant__clothing","762","2021-04-01 00:00:00"
"M-09U1NPGY","P-KBM2MXOA","2021-04-01","55","merchant__clothing","55","2021-04-01 00:00:00"
"M-RZ6P81GP","P-G1EAU5X7","2021-04-01","9218","merchant__clothing","9427","2021-04-01 00:00:00"
"M-O31FYIRG","P-43WKFSAY","2021-04-01","9314","merchant__clothing","9586","2021-04-01 00:00:00"
"M-QXPA74VP","P-D74LH52Z","2021-04-01","9075","merchant__clothing","9357","2021-04-01 00:00:00"
"M-PCF7R92L","P-9584CF34","2021-04-01","9256","merchant__clothing","9455","2021-04-01 00:00:00"
"M-NQNX4JAO","P-6W0RXJIJ","2021-04-01","8916","merchant__clothing","9131","2021-04-01 00:00:00"
"M-84PJ5EC1","P-9E2QWWYF","2021-04-01","107","merchant__bigboxretailer","107","2021-04-01 00:00:00"
"M-C394OQ5V","P-VVFU1JSD","2021-04-01","607","merchant__bigboxretailer","607","2021-04-01 00:00:00"
"M-0Y1H7RYA","P-UWZBNWBF","2021-04-01","760","merchant__bigboxretailer","760","2021-04-01 00:00:00"
"M-VLOT5CWU","P-QJM9CGOC","2021-04-01","974","merchant__bigboxretailer","974","2021-04-01 00:00:00"
"M-DAU32BUK","P-AP2VLH9R","2021-04-01","331","merchant__bigboxretailer","331","2021-04-01 00:00:00"
"M-3JDLLTZM","P-F7E5IX2B","2021-04-01","756","merchant__bigboxretailer","756","2021-04-01 00:00:00"
"M-T8Z162AX","P-WELC80UL","2021-04-01","750","merchant__bigboxretailer","750","2021-04-01 00:00:00"
"M-F0G24TAQ","P-IZ01YCC0","2021-04-01","293","merchant__bigboxretailer","293","2021-04-01 00:00:00"
"M-OMACT5LW","P-Z8YAFBZT","2021-04-01","801","merchant__bigboxretailer","801","2021-04-01 00:00:00"
"M-LPDJNDLY","P-SF7F2R8W","2021-04-01","276","merchant__bigboxretailer","276","2021-04-01 00:00:00"
"M-JP4QBM25","P-HYD6V6R6","2021-04-01","838","merchant__bigboxretailer","838","2021-04-01 00:00:00"
"M-TLLPZV29","P-LYKV1PFD","2021-04-01","774","merchant__bigboxretailer","774","2021-04-01 00:00:00"
"M-J1TTD70R","P-86QVHCKN","2021-04-01","781","merchant__bigboxretailer","781","2021-04-01 00:00:00"
"M-H7YQ47FL","P-CT29LLIB","2021-04-01","167","merchant__bigboxretailer","167","2021-04-01 00:00:00"
"M-M6JFSTS7","P-2C2DM5TS","2021-04-01","438","merchant__bigboxretailer","438","2021-04-01 00:00:00"
"M-TKFQE18F","P-2CM3ADX9","2021-04-01","865","merchant__bigboxretailer","865","2021-04-01 00:00:00"
"M-8DW6H8UC","P-LC1GVCVA","2021-04-01","990","merchant__bigboxretailer","990","2021-04-01 00:00:00"
"M-J5PDZTYP","P-81930YFA","2021-04-01","125","merchant__bigboxretailer","125","2021-04-01 00:00:00"
"M-7HU4TNF1","P-J8QNCOER","2021-04-01","981","merchant__bigboxretailer","981","2021-04-01 00:00:00"
"M-W9DWEJ9I","P-5MBMB0WZ","2021-04-01","755","merchant__bigboxretailer","755","2021-04-01 00:00:00"
"M-XCBWRTZ2","P-1FJ5TPIN","2021-04-01","698","merchant__bigboxretailer","698","2021-04-01 00:00:00"
"M-43FYPZM3","P-SLNK6RR7","2021-04-01","317","merchant__bigboxretailer","317","2021-04-01 00:00:00"
"M-J7UDMHQB","P-2TVAJ7B5","2021-04-01","129","merchant__bigboxretailer","129","2021-04-01 00:00:00"
"M-8BIKQCUF","P-CEAA4SO6","2021-04-01","636","merchant__bigboxretailer","636","2021-04-01 00:00:00"
"M-EYSAWC5V","P-6H7X4WKL","2021-04-01","968","merchant__bigboxretailer","968","2021-04-01 00:00:00"
"M-ZL660X8Z","P-6NI7O7PQ","2021-04-01","570","merchant__bigboxretailer","570","2021-04-01 00:00:00"
"M-B7M76T00","P-EBTAOP0H","2021-04-01","776","merchant__bigboxretailer","776","2021-04-01 00:00:00"
"M-E4MZD46L","P-NXER8PK7","2021-04-01","230","merchant__bigboxretailer","230","2021-04-01 00:00:00"
"M-2Z2VFNW5","P-72ZJFVDT","2021-04-01","847","merchant__bigboxretailer","847","2021-04-01 00:00:00"
"M-8OHJ87T0","P-6FVM832Y","2021-04-01","654","merchant__bigboxretailer","654","2021-04-01 00:00:00"
"M-03TWQC5R","P-IEU0ZQOA","2021-04-01","978","merchant__bigboxretailer","978","2021-04-01 00:00:00"
"M-WZB5V6LF","P-M35CA2E9","2021-04-01","84","merchant__bigboxretailer","84","2021-04-01 00:00:00"
"M-3KJJ5XN1","P-KG7R8M2L","2021-04-01","467","merchant__bigboxretailer","467","2021-04-01 00:00:00"
"M-XD24AUC0","P-TYYC4TYQ","2021-04-01","826","merchant__bigboxretailer","826","2021-04-01 00:00:00"
"M-VZG4LRCR","P-SYY6JT1Q","2021-04-01","320","merchant__bigboxretailer","320","2021-04-01 00:00:00"
"M-8BRISEN7","P-WKDWO58J","2021-04-01","262","merchant__bigboxretailer","262","2021-04-01 00:00:00"
"M-HS65KLWA","P-G75MYA3L","2021-04-01","379","merchant__bigboxretailer","379","2021-04-01 00:00:00"
"M-SNOI99VY","P-9NPZMJMF","2021-04-01","606","merchant__bigboxretailer","606","2021-04-01 00:00:00"
"M-RSQCZP83","P-OPA3WYFJ","2021-04-01","377","merchant__bigboxretailer","377","2021-04-01 00:00:00"
"M-N4XQ2L1E","P-2J8Y2UV0","2021-04-01","831","merchant__bigboxretailer","831","2021-04-01 00:00:00"
"M-WLA5UBD6","P-HY4II61Y","2021-04-01","420","merchant__bigboxretailer","420","2021-04-01 00:00:00"
"M-2SWGQZS8","P-1ILMUXUR","2021-04-01","899","merchant__bigboxretailer","899","2021-04-01 00:00:00"
"M-22O2V22A","P-Q3DDHVO9","2021-04-01","291","merchant__bigboxretailer","291","2021-04-01 00:00:00"
"M-JHC9DK29","P-7YUZFE6E","2021-04-01","705","merchant__bigboxretailer","705","2021-04-01 00:00:00"
"M-QGNAH6UC","P-W9FP7F15","2021-04-01","95","merchant__bigboxretailer","95","2021-04-01 00:00:00"
"M-J35JLWHS","P-T4L7LL0Z","2021-04-01","811","merchant__bigboxretailer","811","2021-04-01 00:00:00"
"M-BLBW1RDR","P-SRSOUJM9","2021-04-01","776","merchant__bigboxretailer","776","2021-04-01 00:00:00"
"M-6G9A640H","P-HSDMHDL8","2021-04-01","900","merchant__bigboxretailer","900","2021-04-01 00:00:00"
"M-YTJ09FWV","P-PUEZLWDA","2021-04-01","280","merchant__bigboxretailer","280","2021-04-01 00:00:00"
"M-X961XTKL","P-M12YKA1Z","2021-04-01","24","merchant__bigboxretailer","24","2021-04-01 00:00:00"
"M-GB24K82F","P-N1M7DVQ3","2021-04-01","490","merchant__bigboxretailer","490","2021-04-01 00:00:00"
"M-N424ACMG","P-8QKO0364","2021-04-01","259","merchant__bigboxretailer","259","2021-04-01 00:00:00"
"M-W5NJ9SX7","P-3W7QPD97","2021-04-01","18491","merchant__bigboxretailer","18872","2021-04-01 00:00:00"
"M-1Y7E6SF2","P-ULHRG4GB","2021-04-01","18397","merchant__bigboxretailer","18889","2021-04-01 00:00:00"
"M-IXHPBNYH","P-3Y7S5IDJ","2021-04-01","17836","merchant__bigboxretailer","18358","2021-04-01 00:00:00"
"M-C5846VEQ","P-0UMDKDI8","2021-04-01","18021","merchant__bigboxretailer","18423","2021-04-01 00:00:00"
"M-Z7HSK878","P-B133E5GU","2021-04-01","18620","merchant__bigboxretailer","19102","2021-04-01 00:00:00"
"M-BN1BX38J","P-71K5EPIZ","2021-04-01","18200","merchant__bigboxretailer","18702","2021-04-01 00:00:00"
"M-0N9DMXXV","P-C62GOWS4","2021-04-01","18120","merchant__bigboxretailer","18678","2021-04-01 00:00:00"
"M-1H7J999E","P-S9SV88ZB","2021-04-01","18435","merchant__bigboxretailer","18893","2021-04-01 00:00:00"
"M-QV84K1J2","P-PICZSIFB","2021-04-01","18612","merchant__bigboxretailer","19201","2021-04-01 00:00:00"
"M-2E7OKQJ2","P-8Q7E4XWL","2021-04-01","18185","merchant__bigboxretailer","18670","2021-04-01 00:00:00"
"M-P3RHSKXG","P-ZB7UQRXA","2021-04-01","17874","merchant__bigboxretailer","18405","2021-04-01 00:00:00"
"M-78D28A4M","P-YLYHG9DI","2021-04-01","17326","merchant__bigboxretailer","17767","2021-04-01 00:00:00"
"M-VSQDV7QW","P-GG6SRFRI","2021-04-01","18687","merchant__bigboxretailer","19133","2021-04-01 00:00:00"
"M-VTXM7H4R","P-MBVSWRQE","2021-04-01","18524","merchant__bigboxretailer","18968","2021-04-01 00:00:00"
"M-BQ6GAK37","P-WC5UB7OD","2021-04-01","18084","merchant__bigboxretailer","18653","2021-04-01 00:00:00"
"M-XO1NPUR6","P-33JGK6R3","2021-04-01","17727","merchant__bigboxretailer","18229","2021-04-01 00:00:00"
"M-JETGK1RN","P-I40CH1VY","2021-04-01","18009","merchant__bigboxretailer","18451","2021-04-01 00:00:00"
"M-OKE88PS2","P-LCNYTMRM","2021-04-01","18582","merchant__bigboxretailer","18939","2021-04-01 00:00:00"
"M-5X1KFT4E","P-FKL70JPO","2021-04-01","18205","merchant__bigboxretailer","18624","2021-04-01 00:00:00"
"M-1I62JBGF","P-PDBC8R3I","2021-04-01","17637","merchant__bigboxretailer","18242","2021-04-01 00:00:00"
"M-9U2PAAY2","P-BLJ9N6B1","2021-04-01","18890","merchant__bigboxretailer","19321","2021-04-01 00:00:00"
"M-H4W2WIUB","P-GK4GAM4E","2021-04-01","17984","merchant__bigboxretailer","18478","2021-04-01 00:00:00"
"M-9EQBE9MV","P-RGWCH2QE","2021-04-01","18984","merchant__bigboxretailer","19363","2021-04-01 00:00:00"
"M-DDWYB53V","P-18Z2UEJ2","2021-04-01","18737","merchant__bigboxretailer","19183","2021-04-01 00:00:00"
"M-LUZILEEZ","P-CQTSDEI3","2021-04-01","18223","merchant__bigboxretailer","18789","2021-04-01 00:00:00"
"M-E7Y0X2HG","P-YDFVJOZ9","2021-04-01","17751","merchant__bigboxretailer","18212","2021-04-01 00:00:00"
"M-QLZVSDP3","P-XHSAEDLK","2021-04-01","18493","merchant__bigboxretailer","18930","2021-04-01 00:00:00"
"M-L3H0FVYQ","P-0O7TA9NL","2021-04-01","18430","merchant__bigboxretailer","18877","2021-04-01 00:00:00"
"M-U1OAPD9I","P-9VGAX24L","2021-04-01","18062","merchant__bigboxretailer","18523","2021-04-01 00:00:00"
"M-GVUW6NZN","P-O4AYKOW8","2021-04-01","18774","merchant__bigboxretailer","19170","2021-04-01 00:00:00"
"M-YF2XBF6I","P-0S9Y7C8H","2021-04-01","18730","merchant__bigboxretailer","19229","2021-04-01 00:00:00"
"M-QAIGW059","P-3WHQ8JB1","2021-04-01","18328","merchant__bigboxretailer","18835","2021-04-01 00:00:00"
"M-DBUO32KQ","P-WLIINZZA","2021-04-01","18460","merchant__bigboxretailer","18914","2021-04-01 00:00:00"
"M-ADYT30PH","P-KBM2MXOA","2021-04-01","18466","merchant__bigboxretailer","18864","2021-04-01 00:00:00"
"M-4AZA4ENH","P-G1EAU5X7","2021-04-01","19162","merchant__bigboxretailer","19658","2021-04-01 00:00:00"
"M-K2BP7OH0","P-43WKFSAY","2021-04-01","18274","merchant__bigboxretailer","18723","2021-04-01 00:00:00"
"M-TDGW7ELY","P-D74LH52Z","2021-04-01","18012","merchant__bigboxretailer","18444","2021-04-01 00:00:00"
"M-VM40V3XF","P-9584CF34","2021-04-01","18511","merchant__bigboxretailer","18867","2021-04-01 00:00:00"
"M-ESXVIIY3","P-6W0RXJIJ","2021-04-01","18346","merchant__bigboxretailer","18809","2021-04-01 00:00:00"
"M-9FA5EEA3","P-9E2QWWYF","2021-04-01","29681","merchant__electronics","30494","2021-04-01 00:00:00"
"M-1T76S9VZ","P-VVFU1JSD","2021-04-01","30425","merchant__electronics","31395","2021-04-01 00:00:00"
"M-P1OXHJDD","P-UWZBNWBF","2021-04-01","30582","merchant__electronics","31485","2021-04-01 00:00:00"
"M-J7VS5BDL","P-QJM9CGOC","2021-04-01","30286","merchant__electronics","31244","2021-04-01 00:00:00"
"M-QG4R2XC0","P-AP2VLH9R","2021-04-01","30457","merchant__electronics","31370","2021-04-01 00:00:00"
"M-UODFLXUK","P-F7E5IX2B","2021-04-01","31062","merchant__electronics","31845","2021-04-01 00:00:00"
"M-TENLU545","P-WELC80UL","2021-04-01","30951","merchant__electronics","31788","2021-04-01 00:00:00"
"M-Q0MSW2FG","P-IZ01YCC0","2021-04-01","31251","merchant__electronics","31992","2021-04-01 00:00:00"
"M-7KQUL7I5","P-Z8YAFBZT","2021-04-01","30886","merchant__electronics","31679","2021-04-01 00:00:00"
"M-6UFY1BA4","P-SF7F2R8W","2021-04-01","30560","merchant__electronics","31427","2021-04-01 00:00:00"
"M-ZJYC2CO1","P-HYD6V6R6","2021-04-01","30484","merchant__electronics","31366","2021-04-01 00:00:00"
"M-UEODHTGI","P-LYKV1PFD","2021-04-01","30752","merchant__electronics","31681","2021-04-01 00:00:00"
"M-5MHI0B42","P-86QVHCKN","2021-04-01","29198","merchant__electronics","30062","2021-04-01 00:00:00"
"M-JG5IPJ0H","P-CT29LLIB","2021-04-01","31293","merchant__electronics","32187","2021-04-01 00:00:00"
"M-6JI777VM","P-2C2DM5TS","2021-04-01","30263","merchant__electronics","31158","2021-04-01 00:00:00"
"M-4A2UVIRY","P-2CM3ADX9","2021-04-01","30391","merchant__electronics","31403","2021-04-01 00:00:00"
"M-OBGZEZ5U","P-LC1GVCVA","2021-04-01","31035","merchant__electronics","31918","2021-04-01 00:00:00"
"M-DXQTNR9Q","P-81930YFA","2021-04-01","30399","merchant__electronics","31324","2021-04-01 00:00:00"
"M-Y59TM3RD","P-J8QNCOER","2021-04-01","30164","merchant__electronics","31126","2021-04-01 00:00:00"
"M-2WOIP44S","P-5MBMB0WZ","2021-04-01","30662","merchant__electronics","31491","2021-04-01 00:00:00"
"M-0JNXP0FX","P-1FJ5TPIN","2021-04-01","343","merchant__electronics","343","2021-04-01 00:00:00"
"M-MGZJRUYV","P-SLNK6RR7","2021-04-01","438","merchant__electronics","438","2021-04-01 00:00:00"
"M-9CC0N7YU","P-2TVAJ7B5","2021-04-01","190","merchant__electronics","190","2021-04-01 00:00:00"
"M-B3LHQ4HL","P-CEAA4SO6","2021-04-01","532","merchant__electronics","532","2021-04-01 00:00:00"
"M-VIRPBW2V","P-6H7X4WKL","2021-04-01","425","merchant__electronics","425","2021-04-01 00:00:00"
"M-8BWBXOX1","P-6NI7O7PQ","2021-04-01","651","merchant__electronics","651","2021-04-01 00:00:00"
"M-HGH4SS1K","P-EBTAOP0H","2021-04-01","30","merchant__electronics","30","2021-04-01 00:00:00"
"M-OJ9WER7O","P-NXER8PK7","2021-04-01","981","merchant__electronics","981","2021-04-01 00:00:00"
"M-DDO0ZB7U","P-72ZJFVDT","2021-04-01","914","merchant__electronics","914","2021-04-01 00:00:00"
"M-NX82XTEH","P-6FVM832Y","2021-04-01","706","merchant__electronics","706","2021-04-01 00:00:00"
"M-5GP961H7","P-IEU0ZQOA","2021-04-01","512","merchant__electronics","512","2021-04-01 00:00:00"
"M-OX8RQHVW","P-M35CA2E9","2021-04-01","82","merchant__electronics","82","2021-04-01 00:00:00"
"M-3TOSD270","P-KG7R8M2L","2021-04-01","679","merchant__electronics","679","2021-04-01 00:00:00"
"M-QV8RQ5JV","P-TYYC4TYQ","2021-04-01","463","merchant__electronics","463","2021-04-01 00:00:00"
"M-96F6QUC5","P-SYY6JT1Q","2021-04-01","369","merchant__electronics","369","2021-04-01 00:00:00"
"M-RTKLVE7K","P-WKDWO58J","2021-04-01","138","merchant__electronics","138","2021-04-01 00:00:00"
"M-7I7C6GUY","P-G75MYA3L","2021-04-01","164","merchant__electronics","164","2021-04-01 00:00:00"
"M-8WTQXCP4","P-9NPZMJMF","2021-04-01","564","merchant__electronics","564","2021-04-01 00:00:00"
"M-N381UFB6","P-OPA3WYFJ","2021-04-01","698","merchant__electronics","698","2021-04-01 00:00:00"
"M-OOIIXO1Z","P-2J8Y2UV0","2021-04-01","159","merchant__electronics","159","2021-04-01 00:00:00"
"M-MNU1T670","P-HY4II61Y","2021-04-01","630","merchant__electronics","630","2021-04-01 00:00:00"
"M-WGQQ5IMV","P-1ILMUXUR","2021-04-01","100","merchant__electronics","100","2021-04-01 00:00:00"
"M-1HTLX1UM","P-Q3DDHVO9","2021-04-01","517","merchant__electronics","517","2021-04-01 00:00:00"
"M-ZNGQ7W61","P-7YUZFE6E","2021-04-01","468","merchant__electronics","468","2021-04-01 00:00:00"
"M-ZN3AE2SE","P-W9FP7F15","2021-04-01","519","merchant__electronics","519","2021-04-01 00:00:00"
"M-DRDPQY1I","P-T4L7LL0Z","2021-04-01","727","merchant__electronics","727","2021-04-01 00:00:00"
"M-RM9D3UMH","P-SRSOUJM9","2021-04-01","921","merchant__electronics","921","2021-04-01 00:00:00"
"M-H9CPB9V7","P-HSDMHDL8","2021-04-01","301","merchant__electronics","301","2021-04-01 00:00:00"
"M-LS82HFTQ","P-PUEZLWDA","2021-04-01","177","merchant__electronics","177","2021-04-01 00:00:00"
"M-VMUA2S3G","P-M12YKA1Z","2021-04-01","974","merchant__electronics","974","2021-04-01 00:00:00"
"M-1999K6JM","P-N1M7DVQ3","2021-04-01","328","merchant__electronics","328","2021-04-01 00:00:00"
"M-XP634ID4","P-8QKO0364","2021-04-01","425","merchant__electronics","425","2021-04-01 00:00:00"
"M-WN296379","P-3W7QPD97","2021-04-01","29949","merchant__electronics","30822","2021-04-01 00:00:00"
"M-X14VCBSE","P-ULHRG4GB","2021-04-01","29969","merchant__electronics","30976","2021-04-01 00:00:00"
"M-I7XC3U3N","P-3Y7S5IDJ","2021-04-01","30257","merchant__electronics","31134","2021-04-01 00:00:00"
"M-3NVRLYBO","P-0UMDKDI8","2021-04-01","31000","merchant__electronics","31997","2021-04-01 00:00:00"
