"order_id","wdf__client_id","order_status"
"O-VNM951FN","merchant__bigboxretailer","Processed"
"O-VHZTFUBY","merchant__electronics","Processed"
"O-CT6GSRBX","merchant__electronics","Processed"
"O-0I51LQ4S","merchant__bigboxretailer","Processed"
"O-DYRT0GI5","merchant__bigboxretailer","Processed"
"O-E6MYFSLM","merchant__electronics","Processed"
"O-ZMDRNQW2","merchant__electronics","Processed"
"O-SDTPMDN8","merchant__bigboxretailer","Processed"
"O-H6O2P93U","merchant__electronics","Processed"
"O-PKB5U2Q5","merchant__clothing","Processed"
"O-DDIL3PUG","merchant__bigboxretailer","Processed"
"O-6QY3DTIW","merchant__bigboxretailer","Processed"
"O-DBQEU01L","merchant__electronics","Processed"
"O-ZUCO7J7M","merchant__clothing","Processed"
"O-T1MCCPG4","merchant__electronics","Processed"
"O-SF97R25C","merchant__clothing","Processed"
"O-XW9AGRGR","merchant__clothing","Processed"
"O-ZGDFKBB0","merchant__electronics","Processed"
"O-MKASZH3G","merchant__electronics","Processed"
"O-RAS1EZ2A","merchant__bigboxretailer","Processed"
"O-8WD9MURV","merchant__clothing","Processed"
"O-KBX9Y2KL","merchant__electronics","Processed"
"O-D7G77L4O","merchant__bigboxretailer","Processed"
"O-YLBDB72S","merchant__electronics","Processed"
"O-WWA5GE4L","merchant__electronics","Processed"
"O-91VVEEQA","merchant__bigboxretailer","Processed"
"O-YAXUPJT9","merchant__electronics","Processed"
"O-DJJABAIZ","merchant__clothing","Processed"
"O-I5K5R9VY","merchant__electronics","Processed"
"O-XB4XAKB7","merchant__electronics","Processed"
"O-PJ53GU7U","merchant__clothing","Processed"
"O-GPEH4J5M","merchant__electronics","Processed"
"O-KD25X3RH","merchant__electronics","Processed"
"O-K51SVSOF","merchant__bigboxretailer","Processed"
"O-V4U9OJFE","merchant__clothing","Processed"
"O-VKPOY00G","merchant__electronics","Canceled"
"O-V1AO4T71","merchant__electronics","Processed"
"O-PKZU707U","merchant__bigboxretailer","Processed"
"O-QJR8DX1J","merchant__electronics","Processed"
"O-1UBWTXI7","merchant__bigboxretailer","Processed"
"O-J3O7LEEC","merchant__bigboxretailer","Processed"
"O-ICK024SP","merchant__electronics","Processed"
"O-33OR878R","merchant__electronics","Processed"
"O-QHRAPAN2","merchant__electronics","Processed"
"O-HSQ37WK8","merchant__electronics","Processed"
"O-7KXWHCDX","merchant__clothing","Processed"
"O-56SC63NW","merchant__electronics","Processed"
"O-EQKN7XS4","merchant__bigboxretailer","Canceled"
"O-3VLX02X9","merchant__electronics","Processed"
"O-704T9YAA","merchant__bigboxretailer","Processed"
"O-V4JDIFFI","merchant__electronics","Processed"
"O-53OL542E","merchant__electronics","Processed"
"O-NSKU2OVH","merchant__electronics","Processed"
"O-JLC8SN5Z","merchant__bigboxretailer","Processed"
"O-HZS2YBZX","merchant__clothing","Processed"
"O-RKQXWUEC","merchant__electronics","Processed"
"O-LBP8DAPH","merchant__clothing","In Cart"
"O-1I6L15M2","merchant__bigboxretailer","Processed"
"O-GO81QUOU","merchant__electronics","Processed"
"O-MJN40VQQ","merchant__electronics","Processed"
"O-YPYTZNT8","merchant__clothing","Processed"
"O-EGGP8YA3","merchant__electronics","In Cart"
"O-P53M4T2W","merchant__bigboxretailer","Processed"
"O-0L2DHM54","merchant__bigboxretailer","Processed"
"O-P52XHUN6","merchant__bigboxretailer","Processed"
"O-XADSSQDZ","merchant__bigboxretailer","In Cart"
"O-Y0EVYHSY","merchant__electronics","Processed"
"O-QPXULEYJ","merchant__bigboxretailer","Processed"
"O-5ISKO5DQ","merchant__electronics","Processed"
"O-Y5J7OLOJ","merchant__electronics","Processed"
"O-C6UHPQF1","merchant__clothing","Canceled"
"O-4QR5IWCY","merchant__electronics","Processed"
"O-WUJ18GCW","merchant__electronics","Processed"
"O-8CW9KGRH","merchant__bigboxretailer","Processed"
"O-WEXGP0G8","merchant__bigboxretailer","Processed"
"O-WHER6T7B","merchant__electronics","Processed"
"O-3SIVZB7L","merchant__bigboxretailer","Processed"
"O-2BR5DQWS","merchant__electronics","In Cart"
"O-7BDIU40G","merchant__bigboxretailer","Processed"
"O-UZJ5WZUZ","merchant__clothing","Processed"
"O-6O5KENUI","merchant__electronics","Canceled"
"O-Z0BD1TTO","merchant__clothing","Processed"
"O-2XN2OIQC","merchant__clothing","Processed"
"O-NMLQ9IBZ","merchant__electronics","Processed"
"O-D7LXREL5","merchant__electronics","Processed"
"O-GTRJ054X","merchant__bigboxretailer","Processed"
"O-8FJ3Q18P","merchant__electronics","Processed"
"O-APOHGT4I","merchant__electronics","Processed"
"O-1GRZRYBP","merchant__bigboxretailer","Processed"
"O-0QM0EANK","merchant__bigboxretailer","Processed"
"O-DC24NLBA","merchant__electronics","Processed"
"O-KIACY8PV","merchant__bigboxretailer","Processed"
"O-SKLA78MD","merchant__electronics","Processed"
"O-KL8POSH7","merchant__bigboxretailer","Processed"
"O-87JIROYF","merchant__electronics","Processed"
"O-HYXY4UB2","merchant__bigboxretailer","Processed"
"O-Z7990SFQ","merchant__electronics","Processed"
"O-V1F5J0BZ","merchant__electronics","Processed"
"O-H5HYOEBR","merchant__bigboxretailer","Processed"
"O-Z55R0NFO","merchant__electronics","Processed"
"O-DNBZ2INL","merchant__electronics","Processed"
"O-XNHTQJ3P","merchant__electronics","Processed"
"O-WRJZTV5I","merchant__electronics","Processed"
"O-QGK0D1ZL","merchant__clothing","Processed"
"O-SKQT08NA","merchant__bigboxretailer","Processed"
"O-9EOK8SXX","merchant__electronics","Processed"
"O-C0ILEJ13","merchant__clothing","Processed"
"O-005WAD9L","merchant__electronics","Processed"
"O-V4FDUXCT","merchant__clothing","Processed"
"O-CK72FCVI","merchant__electronics","Processed"
"O-AGBJU2D1","merchant__electronics","Processed"
"O-69UND2KN","merchant__bigboxretailer","Processed"
"O-SDLK960J","merchant__electronics","Processed"
"O-YSWI54XN","merchant__electronics","Processed"
"O-NZ53PP9K","merchant__bigboxretailer","Processed"
"O-C2XIQQHJ","merchant__bigboxretailer","In Cart"
"O-0DVL5F76","merchant__electronics","Processed"
"O-Q56B31JM","merchant__clothing","Processed"
"O-ATWIW9U7","merchant__bigboxretailer","Processed"
"O-RSM50K5I","merchant__electronics","Processed"
"O-OHI2YMT3","merchant__clothing","Processed"
"O-ZHCTY8L7","merchant__electronics","Processed"
"O-GYZ7PE7K","merchant__electronics","In Cart"
"O-SRUZYEDD","merchant__bigboxretailer","Processed"
"O-IFQ7AKNZ","merchant__bigboxretailer","Processed"
"O-OFZZ4MFX","merchant__bigboxretailer","Processed"
"O-YZQS4UP0","merchant__bigboxretailer","Processed"
"O-ZMK52KKO","merchant__electronics","Processed"
"O-HFACBIOQ","merchant__clothing","Processed"
"O-PJT6HJDD","merchant__bigboxretailer","Canceled"
"O-C1QM4ZQT","merchant__electronics","Canceled"
"O-DZOUFVD6","merchant__electronics","Processed"
"O-YYL2335B","merchant__electronics","Processed"
"O-T1OG9CCL","merchant__clothing","Processed"
"O-YALT7SA3","merchant__clothing","Processed"
"O-LQ63JPCG","merchant__bigboxretailer","Processed"
"O-VQA4XLXE","merchant__electronics","Processed"
"O-VM08R202","merchant__electronics","Processed"
"O-PA6GAV55","merchant__bigboxretailer","Processed"
"O-GG6CT0U6","merchant__electronics","Processed"
"O-L7X3UQD1","merchant__electronics","Processed"
"O-95R6XY03","merchant__electronics","Processed"
"O-W79DNDCW","merchant__clothing","Processed"
"O-0DDCG4FD","merchant__electronics","Processed"
"O-AQ1BMP2Z","merchant__bigboxretailer","Processed"
"O-9FZ759TB","merchant__electronics","Canceled"
"O-DO5UQJ7H","merchant__electronics","Processed"
"O-B6Q8L7RP","merchant__clothing","Processed"
"O-4DV6SJHM","merchant__bigboxretailer","Processed"
"O-LJ3WOTR3","merchant__electronics","Processed"
"O-I18UVMDR","merchant__electronics","Processed"
"O-SB7KM5UD","merchant__clothing","Processed"
"O-8F3PMVZ4","merchant__bigboxretailer","Processed"
"O-ZJYH5CAR","merchant__electronics","Processed"
"O-8T6E74SY","merchant__electronics","Processed"
"O-UOXB2W1J","merchant__bigboxretailer","Processed"
"O-UBDXWGBR","merchant__electronics","Processed"
"O-HK80L1SA","merchant__bigboxretailer","Processed"
"O-8P966ORR","merchant__clothing","Processed"
"O-E2GRJ8O6","merchant__clothing","Processed"
"O-KP3IVTLO","merchant__electronics","Processed"
"O-YJLC8X1Z","merchant__bigboxretailer","Processed"
"O-90JQUTLC","merchant__electronics","In Cart"
"O-SKGAU4JA","merchant__electronics","Processed"
"O-8QKSQ6U7","merchant__electronics","Processed"
"O-YGNGM2DY","merchant__bigboxretailer","Processed"
"O-QX522WUU","merchant__bigboxretailer","Processed"
"O-CMRCPVQR","merchant__electronics","Processed"
"O-M9DNBXO4","merchant__bigboxretailer","Processed"
"O-TDN9PWKC","merchant__electronics","Processed"
"O-KBW0WYYP","merchant__clothing","Processed"
"O-8RFJC9F5","merchant__electronics","Processed"
"O-37RNMHQZ","merchant__clothing","In Cart"
"O-IX76RT5E","merchant__bigboxretailer","Processed"
"O-0GL1M1T0","merchant__bigboxretailer","Processed"
"O-BRY60516","merchant__electronics","Processed"
"O-6XBMJIM7","merchant__clothing","Processed"
"O-YYM0BSDZ","merchant__electronics","Processed"
"O-4F8KI76V","merchant__electronics","Processed"
"O-5N7FAAZQ","merchant__electronics","Processed"
"O-7F6K07VV","merchant__electronics","Processed"
"O-L0VEOUNY","merchant__electronics","Processed"
"O-6PHCMAR7","merchant__clothing","Processed"
"O-YLKJ6V1F","merchant__bigboxretailer","Canceled"
"O-RLGV685F","merchant__electronics","Processed"
"O-OJNZVRIV","merchant__clothing","Processed"
"O-0TW4XJWF","merchant__bigboxretailer","Processed"
"O-06460IE9","merchant__electronics","Processed"
"O-V8AC715C","merchant__electronics","Processed"
"O-7IT8X7A6","merchant__electronics","Processed"
"O-FWPCBPG7","merchant__bigboxretailer","Processed"
"O-7HPVLBY6","merchant__bigboxretailer","In Cart"
"O-TR0VSWB7","merchant__bigboxretailer","Processed"
"O-80LLL7VK","merchant__electronics","Processed"
"O-LN85Z9DR","merchant__bigboxretailer","Processed"
"O-2JY8ONN8","merchant__electronics","Processed"
"O-029F5H3S","merchant__electronics","Processed"
"O-E9KJUQ19","merchant__electronics","Processed"
"O-XCZRIFJK","merchant__electronics","Processed"
"O-5U2JF55O","merchant__bigboxretailer","Processed"
"O-E7GDHSLB","merchant__electronics","Processed"
"O-MIJ826JM","merchant__electronics","Canceled"
"O-6TK4QYLA","merchant__bigboxretailer","Processed"
"O-RJIS8OSM","merchant__electronics","Processed"
"O-BJ70AGHP","merchant__bigboxretailer","Processed"
"O-2SZUCYXW","merchant__clothing","Canceled"
"O-FOXB6LSP","merchant__electronics","Processed"
"O-KW7OJEJC","merchant__bigboxretailer","Processed"
"O-2S10P6HF","merchant__electronics","Processed"
"O-D5LVPT39","merchant__clothing","Processed"
"O-U7TW7B7I","merchant__bigboxretailer","Processed"
"O-V2DZMKH4","merchant__bigboxretailer","Processed"
"O-X4V2O4QW","merchant__electronics","Processed"
"O-EVQ5DBMI","merchant__electronics","Processed"
"O-F2HAMF1V","merchant__clothing","Processed"
"O-4CNYOI5S","merchant__clothing","Processed"
"O-V4QVEFMP","merchant__clothing","Processed"
"O-VJWLZYJP","merchant__electronics","Processed"
"O-K3639040","merchant__electronics","Processed"
"O-Y5VORDXO","merchant__bigboxretailer","Processed"
"O-6RQLERRD","merchant__bigboxretailer","Processed"
"O-LSKNFZFN","merchant__electronics","In Cart"
"O-WP64G6W7","merchant__electronics","Processed"
"O-WBBYUYBA","merchant__bigboxretailer","In Cart"
"O-5OJ5YRUQ","merchant__electronics","Processed"
"O-LI2M546N","merchant__electronics","Processed"
"O-YWN4VAZA","merchant__electronics","Processed"
"O-FE9XAH85","merchant__electronics","Processed"
"O-RVLUJ1C2","merchant__bigboxretailer","Processed"
"O-UC3GN7GK","merchant__electronics","Processed"
"O-7FKU4D5W","merchant__electronics","Processed"
"O-TUHJB9K5","merchant__clothing","Processed"
"O-N3LW49OQ","merchant__bigboxretailer","Processed"
"O-WTW3ZUO5","merchant__electronics","Processed"
"O-05MIY5EI","merchant__bigboxretailer","Processed"
"O-Q0Q7QYSP","merchant__clothing","Processed"
"O-Z2ECMOYB","merchant__electronics","Processed"
"O-QJS397QP","merchant__electronics","Processed"
"O-YD49L76X","merchant__bigboxretailer","Processed"
"O-C5M9OMHW","merchant__clothing","Processed"
"O-0L6E21Z3","merchant__electronics","Processed"
"O-76NFZ4JO","merchant__bigboxretailer","Processed"
"O-A7HQBQ5R","merchant__bigboxretailer","Processed"
"O-X9APDTR6","merchant__bigboxretailer","Processed"
"O-OOQBYPQF","merchant__electronics","Processed"
"O-JBWJ20WR","merchant__clothing","Processed"
"O-CHJPO2ZY","merchant__clothing","Processed"
"O-XT6GRH12","merchant__electronics","Canceled"
"O-8YTRDACX","merchant__bigboxretailer","Processed"
"O-7D13Y0KS","merchant__bigboxretailer","Processed"
"O-CWLCGKPC","merchant__electronics","In Cart"
"O-EYQ1M7U5","merchant__electronics","Processed"
"O-V48UH23A","merchant__electronics","Processed"
"O-FGCVYV91","merchant__electronics","Processed"
"O-OLW7YT17","merchant__bigboxretailer","Processed"
"O-1W9S9ONM","merchant__electronics","Processed"
"O-2MGYM4KI","merchant__clothing","Processed"
"O-10CH2XO7","merchant__electronics","Processed"
"O-QKB1404B","merchant__clothing","Processed"
"O-AJXE90VV","merchant__electronics","Processed"
"O-JNR9AI8D","merchant__bigboxretailer","Processed"
"O-PDN48IAM","merchant__electronics","Processed"
"O-N5BO4EVS","merchant__bigboxretailer","Processed"
"O-WFY9JGKY","merchant__electronics","Processed"
"O-ST33Q0BL","merchant__bigboxretailer","Canceled"
"O-HA4L33QA","merchant__bigboxretailer","Processed"
"O-SULBK7V0","merchant__bigboxretailer","Processed"
"O-NLMU93BR","merchant__electronics","Processed"
"O-3QSF33A8","merchant__bigboxretailer","Processed"
"O-OBXCWD7W","merchant__electronics","Processed"
"O-2Y2HBP2E","merchant__electronics","In Cart"
"O-6IUYQAXJ","merchant__electronics","Processed"
"O-ZXV6AZ9R","merchant__bigboxretailer","Processed"
"O-UG3IWMWX","merchant__bigboxretailer","Processed"
"O-OKCGFRJO","merchant__bigboxretailer","Processed"
"O-MCI8MA9Z","merchant__electronics","Processed"
"O-OCR2SYRS","merchant__clothing","Processed"
"O-EPULFE4V","merchant__electronics","Processed"
"O-J0ZDE1SO","merchant__clothing","Processed"
"O-07T0BGNJ","merchant__electronics","Processed"
"O-MKOEV9SU","merchant__clothing","Processed"
"O-8CSTDNIE","merchant__clothing","Processed"
"O-1RYV5773","merchant__electronics","Processed"
"O-1GNE2GRT","merchant__electronics","Processed"
"O-1GYYDSGB","merchant__electronics","Processed"
"O-EBGAT6EN","merchant__bigboxretailer","Processed"
"O-WBF6QK7T","merchant__electronics","Processed"
"O-76V1H5MP","merchant__electronics","Processed"
"O-DU7OQUCA","merchant__bigboxretailer","Processed"
"O-S1H60LA9","merchant__electronics","Processed"
"O-R90E2Z8K","merchant__bigboxretailer","Processed"
"O-I1WYMW2N","merchant__electronics","Processed"
"O-1PPWR2GT","merchant__bigboxretailer","Processed"
"O-XBEPTWOK","merchant__bigboxretailer","Processed"
"O-98CCGB6B","merchant__electronics","Processed"
"O-6WXB3N1G","merchant__electronics","Processed"
"O-NK8SS4HU","merchant__clothing","In Cart"
"O-9Q4F4GRL","merchant__bigboxretailer","Processed"
"O-ZB3OMB79","merchant__electronics","Canceled"
"O-M4TTVJ4O","merchant__electronics","Processed"
"O-BLH6WW2D","merchant__clothing","Processed"
"O-JILA3M2V","merchant__electronics","Processed"
"O-5QJQLSF0","merchant__electronics","Processed"
"O-AQKE38P3","merchant__bigboxretailer","Processed"
"O-5462J6P6","merchant__bigboxretailer","In Cart"
"O-DX01EQ9U","merchant__bigboxretailer","Canceled"
"O-M15S9RQF","merchant__electronics","Processed"
"O-ORPDSZ35","merchant__electronics","Processed"
"O-DJNEYO98","merchant__clothing","Processed"
"O-KOWFISTM","merchant__bigboxretailer","Processed"
"O-59DANT10","merchant__clothing","Processed"
"O-ADMD47C8","merchant__clothing","Processed"
"O-9RH5HQKL","merchant__electronics","Processed"
"O-QJQ770OM","merchant__electronics","Processed"
"O-KEUMQ7Q2","merchant__bigboxretailer","Processed"
"O-Y90353BA","merchant__electronics","Processed"
"O-QE3HNFR1","merchant__electronics","Processed"
"O-JX2LJ5EQ","merchant__clothing","Processed"
"O-8QFCQGES","merchant__electronics","Processed"
"O-GTLKZK7J","merchant__bigboxretailer","Processed"
"O-R6NKZZ6D","merchant__electronics","Processed"
"O-MME5BL2W","merchant__bigboxretailer","Processed"
"O-85PYLDLT","merchant__electronics","Processed"
"O-UJ7BXL6R","merchant__electronics","Processed"
"O-5TXXI2AN","merchant__bigboxretailer","Processed"
"O-19W06NXL","merchant__electronics","Processed"
"O-TTC5CKNB","merchant__electronics","Processed"
"O-6A7UYPP9","merchant__clothing","Processed"
"O-A88AN2X0","merchant__bigboxretailer","Processed"
"O-876GLVD1","merchant__electronics","Processed"
"O-ZIYO84GR","merchant__clothing","Processed"
"O-QSUAVDEP","merchant__electronics","Processed"
"O-FT0831CE","merchant__clothing","Processed"
"O-U272ST52","merchant__clothing","Processed"
"O-1ANOHWSZ","merchant__electronics","Processed"
"O-WD2Z8D3V","merchant__electronics","Processed"
"O-VWG721G1","merchant__electronics","Processed"
"O-LPL21IMT","merchant__electronics","In Cart"
"O-DZQ23MPV","merchant__bigboxretailer","Processed"
"O-KPT8MKG4","merchant__bigboxretailer","Processed"
"O-19Z6E5M6","merchant__bigboxretailer","Processed"
"O-U27GL0HM","merchant__bigboxretailer","Processed"
"O-W09JA215","merchant__electronics","Processed"
"O-LE2FH5LC","merchant__clothing","Processed"
"O-I86G2C91","merchant__electronics","Processed"
